Appellation,Robert,J.Robinson,J.Suckling,Prix
Saint-Emilion,None,None,None,21.5
Listrac,None,15.5,90.0,18.0
Pomerol,None,16.0,93.0,57.0
Barsac,None,17.5,94.0,46.0
Médoc,None,None,92.0,20.0
Sauternes,None,None,91.0,24.0
Pauillac,None,16.0,95.0,75.0
Margaux,None,18.0,98.0,133.0
Médoc,None,15.0,94.0,35.33
Margaux,None,17.5,98.0,399.0
Margaux,None,16.5,93.0,38.0
Pessac-Léognan,None,None,93.5,30.5
Saint-Emilion,None,16.0,93.0,38.0
Saint-Emilion,None,17.0,97.0,140.0
Saint-Emilion,None,16.0,92.5,41.0
Pessac-Léognan,None,18.5,97.0,890.0
Saint-Estèphe,None,16.0,93.5,29.0
Saint-Julien,None,None,None,28.0
Pessac-Léognan,None,16.0,94.0,33.0
Pauillac,None,16.5,95.0,109.0
Saint-Julien,None,16.0,96.0,137.5
Saint-Estèphe,None,16.0,94.0,32.0
Haut-Médoc,None,16.5,94.5,36.83
Pessac-Léognan,None,18.0,97.0,640.0
Pessac-Léognan,None,None,93.0,24.0
Saint-Emilion,None,16.0,92.5,36.0
Saint-Emilion,None,16.5,93.0,46.0
Saint-Emilion,None,15.0,88.5,54.0
Saint-Emilion,None,16.5,94.0,34.0
Pomerol,None,16.0,95.0,120.0
Saint-Emilion,None,None,None,11.94
Pauillac,None,17.5,97.5,106.0
Pauillac,None,17.5,97.0,270.0
Pauillac,None,17.5,98.0,208.5
Saint-Julien,None,None,94.5,47.0
Saint-Emilion,None,16.5,96.0,99.0
Pauillac,None,16.5,None,31.0
Haut-Médoc,None,None,91.0,15.08
Saint-Emilion,None,None,95.0,32.0
Haut-Médoc,None,14.0,90.5,32.0
Margaux,None,18.0,98.0,450.0
Saint-Julien,None,16.5,94.5,46.0
Saint-Estèphe,None,16.5,93.5,24.5
Canon-Fronsac,None,None,91.5,21.0
Saint-Emilion,None,None,95.0,39.0
Castillon Côtes de Bordeaux,None,16.0,95.0,25.5
Pomerol,None,16.0,95.5,69.83
Margaux,None,16.0,93.0,50.0
Pauillac,None,17.5,96.0,95.0
Pessac-Léognan,None,16.5,None,29.5
Saint-Julien,None,16.5,95.5,83.0
